gene names	baseMean	log2FoldChange	lfcSE	stat	pvalue	padj
cel-miR-4814-5p	52.96262915	-4.481565209	0.7867025	-5.696645441	1.22E-08	4.02E-06
cel-miR-4806-3p	89.8715327	-3.621460802	0.671725237	-5.391282928	7.00E-08	1.15E-05
cel-miR-8204-5p	30.7297247	-3.18648179	0.663365317	-4.803509782	1.56E-06	0.000170979
cel-miR-5552-3p	60.85082711	-3.296271943	0.780643145	-4.222508025	2.42E-05	0.00198715
cel-miR-358-5p	35.69042672	-2.870706607	0.692036926	-4.1481986	3.35E-05	0.002204969
cel-miR-800-5p	14.62284264	-3.185924255	0.794584818	-4.009545843	6.08E-05	0.003335821
cel-miR-4814-3p	627.8292293	-2.488775175	0.664727303	-3.744054385	0.000181074	0.008510498
cel-miR-77-3p	29.63884644	-3.185284821	0.863311376	-3.689612936	0.000224596	0.00923649
cel-miR-2209a-5p	373.8140812	2.482367954	0.716983832	3.462237001	0.000535705	0.017624701
cel-miR-792-5p	62.79522095	2.443004066	0.702570198	3.477238394	0.000506607	0.017624701
cel-miR-85-3p	7.030470854	-3.703128743	1.082307832	-3.421511545	0.000622741	0.018625611
cel-miR-5545-5p	9.255519618	-3.165923406	0.96558799	-3.278751847	0.001042673	0.024818552
cel-miR-5547-5p	3.792301011	-4.032669624	1.238688454	-3.25559636	0.001131545	0.024818552
cel-miR-5592-3p	35.88666373	-2.327713873	0.712908362	-3.265095483	0.001094272	0.024818552
cel-miR-67-3p	1400.487898	-2.486916539	0.75459042	-3.295717084	0.000981708	0.024818552
cel-miR-4937	453.9894485	1.993837172	0.623187517	3.1994177	0.001377055	0.028315693
cel-miR-4812-5p	45.88562628	2.435761522	0.794109827	3.067285455	0.002160125	0.041804765
cel-miR-259-5p	192.3819377	-1.924482108	0.637011697	-3.021109529	0.002518502	0.046032627
cel-miR-1821-3p	56.93827545	-2.275004144	0.766607404	-2.967626105	0.003001091	0.051966268
cel-miR-8203-5p	5.308645072	-3.825211881	1.299941017	-2.942604188	0.003254642	0.053538869
cel-miR-239a-3p	3.626453815	-3.870910734	1.324741297	-2.922012579	0.003477775	0.05417412
cel-miR-4806-5p	48.25175055	-2.326547142	0.799697722	-2.909283192	0.003622586	0.05417412
cel-miR-1823-5p	5.146205182	-3.057236276	1.066714863	-2.866029511	0.004156555	0.057185141
cel-miR-4813-3p	420.6714005	-1.845800421	0.644283502	-2.864888539	0.00417156	0.057185141
